review_number,brand,variety,style,country,stars,continent
375,Vifon,Pho Bo Beef Rice Noodle,Pack,Vietnam,1,Asia
372,Noodle Time,Spicy Thai,Bowl,Canada,1,North America
106,GreeNoodle,Tom Yum,Pack,Thailand,1,Asia
41,Little Cook,Pork Mustard Stem,Bowl,Thailand,1,Asia
1,Westbrae,Miso Ramen,Pack,United States,1,North America
1920,Itsuki,Ramen Tonkotudou Kumamoto Noodles,Pack,Japan,1,Asia
535,Wai Wai,Chicken Flavor,Pack,Thailand,1,Asia
3093,Sichuan Baijia,Green Curry Shrimp Flavor Instant Vermicelli,Pack,China,1,Asia
3080,Fu Chung,Village Dry Noodles With Sauce - Basil & Clam Flavor,Pack,Taiwan,1,Asia
2930,Vedan,Wei Wei Premium Korean Spicy Beef Instant Noodle,Pack,Taiwan,1,Asia
2914,Itomen,Shijimi Clam Shoyu Ramen,Bowl,Japan,1,Asia
2711,Acecook,Hakodate Shio Shrimp Ramen,Cup,Japan,1,Asia
2692,KOKA,Creamy Soup With Crusjhed Noodles Mushroom Flavor,Cup,Singapore,1,Asia
2636,Acecook,Tonkotsu,Cup,Japan,1,Asia
2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,Asia
2519,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1,Asia
2398,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1,Asia
2346,Knorr,Chatt Patta Instant Noodles,Pack,Pakistan,1,Asia
2219,Fantastic,Noodles Crispy Bacon Flavour,Cup,Australia,1,Oceania
2108,Weh Lih,GGE Noodle Snack Wheat Crackers Original Ramen,Pack,Taiwan,1,Asia
1936,Fortune,Rice Noodle Coconut Curry,Pack,United States,1,North America
1761,Authentically Asian,Natural Quality Foods Pad Thai Noodle Bowl,Bowl,United States,1,North America
1604,Unzen,Mushroom Honpo Shiitake Nutritious Noodle,Pack,Japan,1,Asia
1418,Ottogi,Ppushu Ppushu Grilled Chicken Flavor,Pack,South Korea,1,Asia
1299,Mr. Noodles,Noodles In A Cup Spicy Chicken Simulated Flavour,Cup,Canada,1,North America
1216,Batchelors,Super Low Fat Noodles Chilli Chicken Flavour,Pack,UK,1,Europe
1206,China Best,Frozen Satay Sauce Noodle,Pack,Taiwan,1,Asia
1040,Western Family,Instant Noodles Vegetable Flavour,Pack,Canada,1,North America
985,Ko-Lee,Go Noodles Thai Hot & Spicy Tom Yum,Cup,UK,1,Europe
791,Acecook,Super Big Ramen Tonkotsu,Bowl,Japan,1,Asia
503,GreeNoodle,Miso,Pack,Thailand,1,Asia
95,Wei Lih,Artificial Beef Flavor,Pack,Taiwan,1,Asia
56,Doll,Instant Noodles With Sesame Oil & Soup Base,Pack,Hong Kong,1,Asia
55,Hua Feng Noodle Expert,Favoury Pork Flavor,Pack,China,1,Asia
30,Myojo,Special Duck,Pack,Japan,1,Asia
7,Ve Wong,Mushroom Pork,Pack,Vietnam,1,Asia
4,Wai Wai,Oriental Style Instant Noodles,Pack,Thailand,1,Asia
635,Ottogi,Buckwheat Bibim Ramyon,Pack,South Korea,1,Asia
107,Ottogi,Pow Crunch Teriyaki,Pack,South Korea,1,Asia
3081,Fu Chung,Village Dry Noodles With Sauce - Garlic & Sesame,Pack,Taiwan,1,Asia
2352,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1,Asia
1669,A-One,Mi Ly Instant Noodles Mi Chay Vegetarian Flavor,Cup,Vietnam,1,Asia
1329,Vifon,Oriental Style Instant Noodle Mi Ga Chicken Flavor,Cup,Vietnam,1,Asia
922,Sunlee,Shitake Mushroom Vernicalli,Bowl,Thailand,1,Asia
805,Acecook,Super Big Ramen Soy Sauce,Bowl,Japan,1,Asia
746,JML,Artificial Mushroom Chicken,Bowl,China,1,Asia
631,Fashion Foods,XO Sauce,Bowl,Thailand,1,Asia
630,Ve Wong,Kung Fu Artificial Mushroom Pork,Bowl,Taiwan,1,Asia
620,Vifon,Phu Gia Bamboo Shoot Artificial Pork Bean Thread,Pack,Vietnam,1,Asia
385,Ve Wong,Hot Of Hots Artificial Black Peppered Beef,Bowl,Taiwan,1,Asia
361,Tayho,Vermicelli With Pork,Bowl,United States,1,North America
3167,Vedan,Jhen Mian Tang Braised Beef Noodles With Ginger,Box,Taiwan,2,Asia
3159,Sichuan Baijia,Big Boss Hot & Sour Sweet Potato Vermicelli,Cup,China,2,Asia
2936,Myojo,Chicken Nanban Soba,Bowl,Japan,2,Asia
2795,Mike's Mighty Good Craft Ramen,Pork Tonkotsu Flavor Ramen Soup,Cup,United States,2,North America
2713,Kenko Foods,Michio Kawamura Kimchi Miso Ramen,Pack,Japan,2,Asia
2544,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,United States,2,North America
2542,Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,2,Asia
2502,Indomie,Onion Chicken Flavor,Pack,Nigeria,2,Africa
2360,Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,2,Asia
2359,Daikoku,Kitsune Udon,Cup,Japan,2,Asia
2038,A1,Vegetarian Herbal Noodle,Pack,Malaysia,2,Asia
1948,Sichuan Baijia,Artificial Pickled Cabbage Fish Flavor Instant Vermicelli,Pack,China,2,Asia
1922,Mie Sedaap,Instant Cup Mi Kuah Rasa Baso Spesial,Cup,Indonesia,2,Asia
1899,Koh Thai,Island Of Flavours Thai Royal Shrimp Instant Noodles,Pack,Netherlands,2,Europe
1820,Ten-In,Veggie King Buddha Jump Instant Noodles,Bowl,Taiwan,2,Asia
1665,Paldo Vina,Koreno Premium Mushroom Flavor,Pack,Vietnam,2,Asia
1544,Thai Pavilion,Pad Thai Instant rice Noodles & Sauce,Tray,United States,2,North America
1424,Sainsbury's,Curry Flavour Instant Noodles,Pack,UK,2,Europe
1367,Sawadee,Instant Noodles Vegetable & Mushroom Flavour,Pack,UK,2,Europe
1338,Batchelors,Super Noodles Peppered Steak Flavour,Pack,UK,2,Europe
1303,Western Family,Instant Noodles In A Cup Chicken Flavour,Cup,Canada,2,North America
1132,Tesco,Everyday Value Spicy Curry Flavour Noodles,Cup,UK,2,Europe
1084,Mr. Noodles,Noodles In A Cup Chicken Simulated Flavour,Cup,Canada,2,North America
999,Pot Noodle,Tony's Doner Kebab,Cup,UK,2,Europe
898,Long Kow,Crystal Noodles Savory Shoyu,Cup,China,2,Asia
790,GreeNoodle,Shiitake & Soy Sauce,Pack,Thailand,2,Asia
762,Long Kow,Kimchi Pickle Bean Vermicelli,Pack,Taiwan,2,Asia
666,Lishan,Black Rooster Chicken,Pack,Taiwan,2,Asia
607,Pot Noodle,Beef Tomato,Cup,UK,2,Europe
596,Thai Kitchen,Lemongrass Chili Rice Noodle,Pack,United States,2,North America
585,Ve Wong,Artificial Onion Flavor Bean Thread,Bowl,Taiwan,2,Asia
558,Long Kow,Crystal Noodles Vegetables,Bowl,China,2,Asia
526,Annie Chun's,Soy Ginger Ramen,Pack,United States,2,North America
471,Koyo,Lemongrass ginger,Pack,United States,2,North America
454,Koyo,Asian Vegetable,Pack,United States,2,North America
263,Nissin,Chow Mein Kung Pao Chicken,Tray,United States,2,North America
196,Nissin,Cup Noodles Pani Puri,Cup,India,2,Asia
173,Unif / Tung-I,Instant Bean Vermicelli Shrimp,Pack,Taiwan,2,Asia
160,Myojo,Ramen Desse Soy Sauce,Bowl,Japan,2,Asia
126,Mama,Tom Yam Koong Rice Vermicelli,Pack,Thailand,2,Asia
110,Lucky Me!,Artificial Chicken,Pack,Philippines,2,Asia
102,Indomie,Soto Mie,Pack,Indonesia,2,Asia
62,Maggi,Rice Noodle Mania Lemon Masala,Pack,India,2,Asia
9,Smack,Vegetable Beef,Pack,United States,2,North America
2945,Vedan,449 Instant Noodle Three Cup Chicken Flavor,Pack,Taiwan,2,Asia
2070,Tokushima Seifun,Negi Ramen,Bowl,Japan,2,Asia
1512,Chewy,Japanese Fried Ramen Noodles Kyoto Barbecue Sauce Flavour,Pack,Hong Kong,2,Asia
1417,Sau Tao,Oat Noodle Abalone Flavored,Pack,Taiwan,2,Asia
1389,Tiger Tiger,Traveller's Choice Thai Red Curry Flavour Instant Noodles,Pack,UK,2,Europe
1364,Golden Wheat,Korean Style Stew Pork Flavour Noodle Soup,Bowl,China,2,Asia
1243,Nissin,Demae Rice Vermicelli Chicken Flavour Instant Rice Vermicelli With Soup Base,Pack,Hong Kong,2,Asia
1169,Mr. Noodles,Noodles In A Cup Beef Simulated Flavour,Cup,Canada,2,North America
946,Right Foods,Dr. McDougall's Vegan Chicken Ramen,Cup,United States,2,North America
811,Mr. Noodles,Vegetable,Pack,Canada,2,North America
804,Little Cook,Abalone Chicken,Cup,Thailand,2,Asia
793,Mr. Noodles,Spicy Beef,Pack,Canada,2,North America
767,Fashion Foods,Mushroom Vegetarian,Bowl,Thailand,2,Asia
612,Maruchan,Yakisoba Spicy Chicken,Tray,United States,2,North America
579,Baijia,Sichuan Pickled Sweet Potato Thread,Pack,China,2,Asia
478,Vedan,Mushroom & Artificial Cuttlefish,Pack,Taiwan,2,Asia
476,Annie Chun's,Teriyaki Noodle,Bowl,United States,2,North America
467,Vifon,Tu Quy Sour Spicy Shrimp,Pack,Vietnam,2,Asia
347,Sunny Maid,Mi Chay Vegetarian,Pack,Taiwan,2,Asia
312,Lucky Me!,Supreme Bulalo Artificial Bone Marrow,Bowl,Philippines,2,Asia
239,Ottogi,Ppushu Ppushu Sweet & Sour,Pack,South Korea,2,Asia
227,Quickchow,Bihon Guisado Rice Noodle,Pack,Philippines,2,Asia
159,Mama,Hot & Spicy,Pack,Thailand,2,Asia
154,Nissin,Creamy Chicken,Cup,United States,2,North America
153,Sapporo Ichiban,Shrimp Flavor,Cup,United States,2,North America
139,Kamfen,Noodle King Beef,Pack,China,2,Asia
137,Nissin,Bowl Noodles Rich & Savory Chicken,Bowl,United States,2,North America
69,Baijia,Spicy Fei- Chang Sweet Potato Noodle,Pack,China,2,Asia
84,Samyang,Kalgug-Su Assorted Clam,Pack,South Korea,2,Asia
3179,Nagatanien,tom Yum Kung Rice Vermicelli,Pack,Japan,2,Asia
3115,Suraj,Masala Noodles,Pack,Canada,2,North America
3094,Nongshim,Oolongmen Beef,Cup,United States,2,North America
3075,Sapporo Ichiban,Spicy Otafuku Okonomiyaki Sauce Yakisoba,Tray,Japan,2,Asia
3059,Maruchan,Nanban Curry Soba,Bowl,Japan,2,Asia
3017,Vite Ramen,Soy Sauce Chicken,Pack,United States,2,North America
2983,Nongshim,Spicy Zha Wang Noodle,Pack,United States,2,North America
2965,Ajinomoto,Oyakata Soy Sauce Ramen Soup,Cup,Poland,2,Europe
2949,Lien Ying,Asian Spirit Asia Noodles Vegetable Flavor,Cup,Germany,2,Europe
2885,Three Meters Noodles,Sesame Oil Taste,Pack,Taiwan,2,Asia
2883,Taihodien Restaurant,Supreme Spicy Noodle,Pack,Taiwan,2,Asia
2850,Shibu Ramen,Spicy Garlic Tonkotsu,Restaurant,United States,2,North America
2782,Mr. Noodle,Black Vinegar With Spicy Taste,Pack,Taiwan,2,Asia
2780,Mr. Noodle,Pesto Sesame Noodles,Pack,Taiwan,2,Asia
2775,Vifon,Garlic Flavour Instant Noodles,Pack,Poland,2,Europe
2684,KOKA,Instant Noodles Mushroom Flavour,Pack,Singapore,2,Asia
2638,Nissin,Demae Ramen Straight Noodle Miso Flavour Instant Noodle,Pack,Hong Kong,2,Asia
2628,Wang,Asian Style Noodle Seafood Udon,Bowl,South Korea,2,Asia
2581,Samyang Foods,Curry Buldak Bokkeummyun,Bowl,South Korea,2,Asia
2530,Ottogi,Ppushu Ppushu Noodle Snack Honey Butter,Pack,South Korea,2,Asia
2473,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2,Asia
2464,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2,Asia
2267,Shirakiku,Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base,Pack,United States,2,North America
2201,Mr. Lee's Noodles,Penang Chicken Curry Laksa,Cup,UK,2,Europe
2135,Doll,Instant Noodle Supreme Abalone And Chicken Flavour,Pack,Hong Kong,2,Asia
2093,Oni Hot Pot,Seaweed Flavour Noodle,Pack,Taiwan,2,Asia
2029,Singa-Me,Instant Noodles Beef Flavour,Cup,Australia,2,Oceania
2025,Urban Noodle,Authentic Street Food Chow Mein,Cup,UK,2,Europe
2012,MAMA,Vegetarian Instant Noodles Shiitake Flavour,Pack,Thailand,2,Asia
2011,Trident,2 Minute Laksa Flavour Noodles,Pack,Australia,2,Oceania
1954,Koh Thai,Island Of Flavours Spicy Thai Chicken Instant Noodles Soup,Pack,Netherlands,2,Europe
1664,Mamee,Oriental Noodles Prawn Flavor,Pack,Malaysia,2,Asia
1644,Hao Way,Vegetarian Penang Laksa Instant Bowl Noodles,Bowl,Malaysia,2,Asia
1640,Long Jun Hang,Taiwan Dried Noodles With Onion Oil Sauce,Pack,Taiwan,2,Asia
1558,No Name,Beef Flavour Oriental Noodles And Soup Mix,Cup,Canada,2,North America
1416,Myojo,Chukazanmai Szechuan Style Miso,Pack,Japan,2,Asia
1373,Tesco,Everyday Value Beef & Tomato Flavour Noodles,Cup,UK,2,Europe
1323,Golden Wheat,Korean Style Mushroom Chicken Flavour Cooking Noodle,Pack,China,2,Asia
1277,Vifon,Mì Gà Tìm Chua Cay Hot & Sour Chicken Flavor Instant Noodles,Pack,Vietnam,2,Asia
1164,Mr. Noodles,Bowl Chicken Simulated Flavour,Bowl,Canada,2,North America
1049,Mr. Noodles,Bowl Beef Simulated Flavor,Bowl,Canada,2,North America
1009,Western Family,Instant Noodles In A Cup Oriental,Cup,Canada,2,North America
1002,Mr. Noodles,Bowl Spicy Chicken Simulated Flavour,Bowl,Canada,2,North America
970,Annie Chun's,Noodle Express Spicy Szechuan,Tray,United States,2,North America
839,CJ CheilJedang,Mild Bean Curd Stew,Cup,South Korea,2,Asia
813,Mr. Noodles,Spicy Chicken,Pack,Canada,2,North America
691,Mamee,Express Cup Vegetarian,Cup,Malaysia,2,Asia
668,Saigon Ve Wong,Kung Fu Vegetarian,Bowl,Vietnam,2,Asia
616,Maggi,2 Minute Noodles Thrillin' Curry,Pack,India,2,Asia
611,Batchelors,Super Noodles Low Fat Sweet Thai Chilli,Pack,UK,2,Europe
604,Batchelors,Super Noodles Low Fat Chicken Herb,Pack,UK,2,Europe
573,Noah Foods,Phoya Chicken,Bowl,Vietnam,2,Asia
537,Mama,Pad Kee Mao Drunken,Pack,Thailand,2,Asia
529,Sapporo Ichiban,Hot Spicy Chicken,Pack,United States,2,North America
519,Snapdragon,Beijing Vegetable Rice Noodle,Cup,Singapore,2,Asia
502,Sunlee,Beef Rice Stick,Bowl,Thailand,2,Asia
393,Kamfen,Dried Mix Noodles XO Sauce,Tray,China,2,Asia
311,Vifon,Tasty Mushroom,Pack,Vietnam,2,Asia
289,Paldo,South Korean Broad Noodle,Pack,South Korea,2,Asia
270,Wu Mu,Dried Noodle With BBQ Pork,Pack,Taiwan,2,Asia
267,Mama,Pork,Cup,Thailand,2,Asia
242,Fashion Foods,Tom Klong,Bowl,Thailand,2,Asia
228,Vifon,Pho Ga Instant rice Noodle,Bowl,Vietnam,2,Asia
215,Maruchan,Yakisoba Chicken,Tray,United States,2,North America
214,Maruchan,Yakisoba Teriyaki Beef,Tray,United States,2,North America
203,Nongshim,Bowl Noodle Hot & Spicy,Bowl,United States,2,North America
199,Samyang,Chinese Soybean Paste,Pack,South Korea,2,Asia
183,Nissin,Bowl Noodles Hot & Spicy Chicken,Bowl,United States,2,North America
181,Kamfen,Noodle King Thin Wonton,Pack,China,2,Asia
178,Mama,Oriental Style Clear Soup,Pack,Thailand,2,Asia
157,Nissin,Sotanghon,Cup,Philippines,2,Asia
108,Teriyaki Time,Ramen,Bowl,United States,2,North America
104,Maruchan,Ramen Noodle Soup Chicken,Pack,United States,2,North America
92,Fashion Food,Tom Yum Seafood Creamy,Bowl,Thailand,2,Asia
83,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,2,Asia
67,Maruchan,Ramen Noodle Soup Lime Chili Shrimp,Pack,United States,2,North America
60,Maggi,Vegetable Atta Noodles Masala,Pack,India,2,Asia
53,Indomie,Chicken,Cup,Indonesia,2,Asia
34,Maruchan,Ramen Noodle Soup Shrimp,Pack,United States,2,North America
24,Nissin,Demae Ramen Spicy Seafood With Chili Pepper,Pack,Japan,2,Asia
11,Six Fortune,Chicken Flavor Instant Soup Noodle,Pack,South Korea,2,Asia
10,Sutah,Cup Noodle,Cup,South Korea,2,Asia
3,Wai Wai,Tom Yum Shrimp,Pack,Thailand,2,Asia
2,Wai Wai,Tom Yum Chili Flavor,Pack,Thailand,2,Asia
587,Sunlight,Steam Vermicelli,Pack,Taiwan,2,Asia
334,Nissin,Big Cup Noodles Beef,Cup,United States,2,North America
2721,Yumei,Instant Spicy Hot Pot,Bowl,China,2,Asia
2578,Nissin,Cup Noodles Chicken Vegetable,Cup,United States,2,North America
2257,Fuku,Tom Yam Soup Instant Noodle,Pack,Hong Kong,2,Asia
2156,A-Sha Dry Noodle,Chow Mein Oyster Sauce BBQ Flavor,Tray,Taiwan,2,Asia
2127,Suimin,Noodles With Chicken & Sweet Corn Flavour,Cup,Australia,2,Oceania
1594,Acecook,Jan Jan Dashi Shoyu Yakisoba,Cup,Japan,2,Asia
1462,Wei Lih,Steam Instant Noodles Korean Salt & Rib Soup Flavour,Bowl,Taiwan,2,Asia
1345,Lotus Foods,Forbidden Rice Ramen,Pack,United States,2,North America
1281,Tokachimen Koubou,Jet Black Sesame Oil Pork Tonkotsu,Bowl,Japan,2,Asia
1252,Tesco,Instant Noodles Chow Mein Flavour,Pack,UK,2,Europe
1034,Western Family,Instant Noodles In A Cup Spicy Chicken,Cup,Canada,2,North America
974,Pot Noodle,Chilli Beef Flavour,Cup,UK,2,Europe
774,Indomie,Rasa Sup Sayuran Vegan,Pack,Indonesia,2,Asia
693,Chewy,Stir Rice Vermicelli Indonesian Gado Gado,Tray,China,2,Asia
583,Vifon,Phu Gia Cua Crab Bean Thread,Pack,Vietnam,2,Asia
446,Sao Tao,Noodle King Hong Koing Style Wonton,Bowl,Hong Kong,2,Asia
445,iNoodle,Taiwan Style Chow Mein,Pack,Taiwan,2,Asia
408,Gomex,3 Mien Mi Tom Chua Cay Hot sour Shrimp,Pack,Vietnam,2,Asia
403,Maruchan,Instant Lunch Lime Flavor with Shrimp,Cup,United States,2,North America
338,Nissin,Big Cup Noodles Chicken,Cup,United States,2,North America
333,Nissin,Big Cup Noodles Shrimp,Cup,United States,2,North America
197,Rhee Bros Assi,Rice Noodle With Spicy Flavored Soup,Tray,South Korea,2,Asia
169,Samyang,Seafood Party,Pack,South Korea,2,Asia
134,Global Inspiration,Gyeong-Gi-Do Rice,Bowl,South Korea,2,Asia
90,Long Kow,Crystal Noodle Six Kinds Of Mushrooms,Pack,China,2,Asia
3178,Acecook,Kelp Broth Shio Ramen,Cup,Japan,3,Asia
3155,Jinmailang,Cup Noodles Slow Roast Beef Flavor,Cup,China,3,Asia
3105,Maggi,Pedas Giler Tom Yummz Mi Goreng,Pack,Malaysia,3,Asia
3046,Buitoni,Yakisoba Noodles Gusto Chili,Pack,Italy,3,Europe
3041,Maruchan,QTTA Mexican Tacos Ramen,Cup,Japan,3,Asia
3029,Maruchan,Yakisoba Meijin Shio,Tray,Japan,3,Asia
2994,Sapporo Ichiban,Ise Ebi Soup Noodles,Cup,Japan,3,Asia
2969,Kiki,Mapo Tofu Noodle,Box,Taiwan,3,Asia
2941,A-Sha,Guanmiao Noodle Hakka Sesame Oil Scallion,Pack,Taiwan,3,Asia
2933,Maruchan,Soup Curtry Wonton,Cup,Japan,3,Asia
2877,Super,Cup Instant Noodle Seafood Flavour,Cup,Malaysia,3,Asia
2603,Paldo,Pororo Jjajang Noodle,Cup,South Korea,3,Asia
2588,Sau Tao,Ho Fan Tomato Soup Flavored,Pack,Hong Kong,3,Asia
2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,3,Asia
2427,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,3,Asia
2413,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,3,Asia
2379,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,United States,3,North America
2322,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,3,Asia
2296,Suimin,Noodles With Chicken Flavour,Cup,Australia,3,Oceania
2198,Mr. Lee's Noodles,Dragon Fire Mushroom,Cup,UK,3,Europe
2193,Knorr,Chicken Flavored Instant Noodles,Pack,Pakistan,3,Asia
2188,Singa-Me,Instant Noodles Chicken Flavour,Cup,Australia,3,Oceania
2167,Great Value,Vegetable Flavour Noodles With Vegetables,Cup,Canada,3,North America
2059,Four Seas,Beef And Radish Flavour Instant Noodle,Pack,Hong Kong,3,Asia
2033,Chaudhary's Wai Wai,Instant Noodles Artificial Chicken & Shrimp Flavored,Pack,India,3,Asia
2024,Urban Noodle,Authentic Street Food Pad Thai,Cup,UK,3,Europe
1941,Unox,Good Noodles Tandoori,Pack,Netherlands,3,Europe
1874,Ibumie,Always Mi Goreng Perisa Thai Tom Yam,Pack,Malaysia,3,Asia
1799,Thai Smile,Spring Onion Rice Noodle Soup Bowl,Bowl,United States,3,North America
1741,Myojo,Udon Japanese Style Pre-Cooked Noodles With Soup Chicken Flavor,Bowl,United States,3,North America
1719,Wai Wai,Grilled Pork Flavour Instant Noodles,Bowl,Thailand,3,Asia
1718,Vina Acecook,Hao Hao Sate Onion Flavour,Cup,Vietnam,3,Asia
1630,Nongshim,Korean Clay Pot Ramyun,Bowl,China,3,Asia
1627,Vedan,Wei Wei A Instant Noodles Hot Beef Flavour,Bowl,Taiwan,3,Asia
1618,Deshome,Aloe This Noodles With Camellia Oil Spicy Bean Sauce Flavor,Pack,Taiwan,3,Asia
1565,Oyatsu,Baby Star Snack Noodle Chicken Flavour,Pack,Japan,3,Asia
1542,Koka,Noodles Beef Flavour,Cup,Singapore,3,Asia
1317,Ve Wong,Little Prince Brand Snack Noodles Original Flavor,Pack,Taiwan,3,Asia
1306,Koka,Oriental Style Instant Noodles Tom Yam Flavour,Pack,Singapore,3,Asia
